GlobalNodeId,Points:0,Points:1
5860,0.00474043,0
5863,0.00474041,0.000374743
5846,0.00474039,0.000749436
5849,0.0047405,0.00112411
5825,0.00474056,0.00149895
5829,0.00474046,0.0018738
5822,0.00473978,0.00224934
8153,0.00473612,0.00263917
8139,0.00473186,0.00302757
8142,0.00472822,0.00341644
8125,0.00472482,0.00380483
8128,0.00472243,0.0041935
8111,0.0047206,0.00458213
8114,0.00471978,0.00497084
8097,0.00471961,0.00535971
8100,0.00472025,0.00574855
8083,0.00472133,0.00613775
8086,0.0047226,0.00652684
8069,0.00472398,0.00691617
8072,0.0047253,0.00730533
8055,0.00472667,0.00769458
8058,0.00472797,0.0080837
8041,0.00472927,0.00847288
8044,0.00473048,0.00886193
8027,0.00473168,0.00925099
8030,0.00473285,0.00963994
8013,0.00473401,0.0100289
8016,0.00473515,0.0104178
7999,0.00473629,0.0108066
8002,0.00473742,0.0111954
7985,0.00473856,0.0115841
7988,0.00473974,0.0119728
7971,0.00474098,0.0123614
7974,0.00474231,0.0127499
7957,0.00474377,0.0131383
7960,0.00474552,0.0135266
7943,0.00474747,0.0139149
7946,0.00474994,0.0143029
7929,0.00475244,0.0146913
7932,0.00475506,0.0150794
7915,0.00475724,0.0154684
7918,0.00475674,0.0158575
7901,0.00475542,0.0162456
7904,0.00475432,0.0166337
7887,0.00475348,0.0170214
7890,0.00475339,0.0174093
7873,0.00475339,0.0177974
7876,0.00475353,0.0181854
7859,0.00475379,0.0185735
7862,0.0047541,0.0189615
7845,0.00475443,0.0193497
7848,0.00475474,0.0197377
7831,0.00475504,0.0201258
7834,0.00475528,0.0205139
7817,0.00475549,0.020902
7820,0.00475564,0.0212901
7803,0.00475576,0.0216782
7806,0.00475583,0.0220662
7789,0.00475587,0.0224543
7792,0.00475588,0.0228423
7775,0.00475588,0.0232304
7778,0.00475587,0.0236184
7761,0.0047559,0.0240064
7764,0.00475601,0.0243943
7747,0.00475627,0.0247822
7750,0.00475674,0.0251701
7733,0.00475742,0.0255577
7736,0.00475884,0.0259453
7719,0.0047605,0.0263331
7722,0.00476278,0.0267206
7705,0.00476478,0.0271092
7708,0.00476457,0.027498
7691,0.00476333,0.0278862
7694,0.00476118,0.0282744
7677,0.00475919,0.0286617
7680,0.00475823,0.0290493
7663,0.00475749,0.029437
7666,0.00475713,0.0298248
7649,0.00475697,0.0302127
7652,0.00475694,0.0306005
7635,0.00475701,0.0309885
7638,0.00475711,0.0313764
7621,0.00475723,0.0317644
7624,0.00475732,0.0321524
7607,0.00475739,0.0325404
7610,0.00475741,0.0329284
7593,0.00475741,0.0333164
7596,0.00475735,0.0337043
7579,0.00475726,0.0340923
7582,0.00475712,0.0344803
7565,0.00475697,0.0348683
7568,0.00475679,0.0352563
7551,0.00475663,0.0356443
7554,0.00475649,0.0360322
7537,0.00475645,0.0364201
7540,0.00475653,0.036808
7523,0.00475681,0.0371958
7526,0.00475743,0.0375836
7509,0.00475828,0.0379712
7512,0.00476011,0.0383586
7495,0.00476217,0.0387467
7498,0.00476372,0.0391347
7481,0.00476444,0.0395235
7484,0.00476284,0.0399122
7467,0.00476077,0.0402998
7470,0.00475917,0.0406876
7453,0.00475781,0.0410751
7456,0.00475725,0.0414627
7439,0.00475691,0.0418506
7442,0.0047568,0.0422384
7425,0.00475687,0.0426263
7428,0.00475701,0.0430142
7411,0.00475721,0.0434022
7414,0.00475741,0.0437901
7397,0.00475762,0.0441781
7400,0.00475779,0.044566
7383,0.00475793,0.044954
7386,0.00475802,0.045342
7369,0.00475809,0.0457299
7372,0.0047581,0.0461179
7355,0.00475808,0.0465058
7358,0.00475803,0.0468938
7341,0.00475798,0.0472817
7344,0.00475791,0.0476696
7327,0.00475789,0.0480575
7330,0.00475793,0.0484454
7313,0.00475812,0.0488332
7316,0.00475851,0.049221
7299,0.00475913,0.0496086
7302,0.00476041,0.0499961
7285,0.00476191,0.0503838
7288,0.00476431,0.0507711
7271,0.00476662,0.0511596
7274,0.00476685,0.0515483
7257,0.00476593,0.0519366
7260,0.00476366,0.0523249
7243,0.00476145,0.0527121
7246,0.0047603,0.0530996
7229,0.0047594,0.0534872
7232,0.004759,0.0538748
7215,0.00475883,0.0542626
7218,0.00475882,0.0546504
7201,0.00475893,0.0550382
7204,0.00475907,0.0554261
7187,0.00475925,0.055814
7190,0.0047594,0.0562018
7173,0.00475955,0.0565897
7176,0.00475965,0.0569776
7159,0.00475973,0.0573655
7162,0.00475976,0.0577534
7145,0.00475976,0.0581413
7148,0.0047597,0.0585292
7131,0.00475963,0.058917
7134,0.00475952,0.0593049
7117,0.00475943,0.0596928
7120,0.00475935,0.0600806
7103,0.00475935,0.0604684
7106,0.00475947,0.0608562
7089,0.0047598,0.0612438
7092,0.00476044,0.0616315
7075,0.00476131,0.062019
7078,0.0047632,0.0624062
7061,0.0047654,0.0627941
7064,0.00476747,0.063182
7047,0.00476868,0.0635707
7050,0.0047671,0.0639595
7033,0.00476485,0.0643471
7036,0.00476284,0.0647348
7019,0.00476107,0.0651221
7022,0.00476022,0.0655096
7005,0.00475964,0.0658972
7008,0.00475934,0.0662849
6991,0.00475924,0.0666727
6994,0.00475925,0.0670605
6977,0.00475934,0.0674483
6980,0.00475943,0.0678362
6963,0.00475953,0.0682241
6966,0.0047596,0.0686119
6949,0.00475965,0.0689998
6952,0.00475965,0.0693877
6935,0.00475963,0.0697756
6938,0.00475955,0.0701635
6921,0.00475944,0.0705514
6924,0.00475928,0.0709392
6907,0.00475912,0.0713271
6910,0.00475893,0.071715
6893,0.00475878,0.0721029
6896,0.00475867,0.0724907
6879,0.0047587,0.0728785
6882,0.00475889,0.0732663
6865,0.0047593,0.0736539
6868,0.00476027,0.0740414
6851,0.0047615,0.074429
6854,0.00476374,0.0748163
6837,0.00476602,0.0752047
6840,0.00476656,0.0755932
6823,0.00476599,0.0759816
6826,0.00476378,0.0763699
6809,0.00476146,0.0767573
6812,0.00476008,0.0771448
6795,0.00475896,0.0775324
6798,0.00475842,0.07792
6781,0.00475812,0.0783078
6784,0.004758,0.0786955
6767,0.00475802,0.0790834
6770,0.00475809,0.0794713
6753,0.0047582,0.0798592
6756,0.0047583,0.0802471
6739,0.00475839,0.080635
6742,0.00475844,0.0810229
6725,0.00475846,0.0814108
6728,0.00475843,0.0817988
6711,0.00475837,0.0821867
6714,0.00475827,0.0825746
6697,0.00475814,0.0829626
6700,0.00475798,0.0833505
6683,0.00475782,0.0837384
6686,0.00475767,0.0841263
6669,0.00475759,0.0845142
6672,0.0047576,0.084902
6655,0.00475779,0.0852898
6658,0.00475823,0.0856776
6641,0.00475887,0.0860651
6644,0.00476045,0.0864525
6627,0.00476238,0.0868403
6630,0.00476451,0.0872281
6613,0.00476598,0.0876168
6616,0.00476492,0.0880055
6599,0.00476309,0.0883934
6602,0.00476107,0.0887813
6585,0.00475923,0.0891687
6588,0.00475834,0.0895562
6571,0.00475771,0.089944
6574,0.00475741,0.0903317
6557,0.00475731,0.0907195
6560,0.00475733,0.0911074
6543,0.00475743,0.0914953
6546,0.00475755,0.0918832
6529,0.00475769,0.0922712
6532,0.00475779,0.0926591
6515,0.00475788,0.093047
6518,0.00475792,0.093435
6501,0.00475792,0.0938229
6504,0.00475788,0.0942109
6487,0.00475781,0.0945988
6490,0.0047577,0.0949868
6473,0.00475757,0.0953747
6476,0.00475743,0.0957626
6459,0.0047573,0.0961505
6462,0.00475721,0.0965384
6445,0.00475724,0.0969263
6448,0.00475737,0.0973142
6431,0.00475766,0.0977019
6434,0.00475849,0.0980895
6417,0.00475964,0.0984771
6420,0.00476188,0.0988644
6403,0.00476407,0.0992529
6406,0.00476461,0.0996414
6389,0.00476414,0.10003
6392,0.00476203,0.100418
6375,0.00475967,0.100806
6378,0.00475803,0.101193
6361,0.00475664,0.101581
6364,0.00475588,0.101969
6347,0.00475534,0.102357
6350,0.004755,0.102745
6333,0.00475479,0.103133
6336,0.00475465,0.103521
6319,0.00475455,0.103909
6322,0.00475443,0.104297
6305,0.0047543,0.104685
6308,0.00475413,0.105073
6291,0.00475393,0.105461
6294,0.00475368,0.105849
6277,0.0047534,0.106237
6280,0.00475308,0.106625
6263,0.00475273,0.107013
6266,0.00475235,0.107402
6249,0.00475196,0.10779
6252,0.00475156,0.108178
6235,0.00475118,0.108566
6238,0.00475086,0.108954
6221,0.00475067,0.109342
6224,0.00475059,0.10973
6207,0.00475055,0.110118
6210,0.0047514,0.110506
6193,0.00475254,0.110895
6196,0.00475326,0.111283
6179,0.00475304,0.111672
6182,0.00475064,0.112061
6165,0.00474795,0.112449
6168,0.00474559,0.112838
6151,0.00474324,0.113226
6154,0.00474135,0.113614
6137,0.00473966,0.114003
6140,0.00473821,0.114391
6123,0.00473689,0.11478
6126,0.00473564,0.115169
6109,0.00473445,0.115557
6112,0.00473328,0.115946
6095,0.00473211,0.116335
6098,0.00473089,0.116724
6081,0.00472964,0.117113
6084,0.0047283,0.117502
6067,0.00472698,0.117891
6070,0.00472555,0.11828
6053,0.00472417,0.118669
6056,0.00472296,0.119058
6039,0.00472202,0.119447
6042,0.00472161,0.119836
6025,0.00472147,0.120225
6028,0.00472162,0.120614
6011,0.0047219,0.121003
6014,0.00472224,0.121392
5997,0.00472258,0.121781
6000,0.00472285,0.12217
5983,0.00472315,0.12256
5986,0.00472345,0.122949
5969,0.00472387,0.123338
5972,0.00472453,0.123726
5955,0.0047255,0.124115
5958,0.00472709,0.124504
5941,0.0047291,0.124892
5944,0.00473209,0.12528
5920,0.00473534,0.125669
5924,0.00473929,0.126057
5917,0.00474257,0.126447
8195,0.00474251,0.126823
8181,0.00474164,0.127198
8184,0.00474071,0.127573
8160,0.00473964,0.127948
8164,0.0047385,0.128323
8157,0.00473722,0.128698
